GPUS,CONFIG,ID,DIRECTION,NAME,CYCLE
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8151,forward,Fusion(Dropout+Gelu),1585660
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8152,forward,GEMM,2455441
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8153,forward,Fusion(Dropout+LN),370405
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8154,forward,Fusion(Dropout+LN),580718
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8155,forward,Fusion(Dropout+LN),408031
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8156,forward,GEMM,581266
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8157,forward,GEMM,587893
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8158,forward,GEMM,590097
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8159,forward,Fusion,233069
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8160,forward,Fusion,336667
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8161,forward,Fusion,233398
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8162,forward,Fusion,232560
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8163,forward,Fusion,335486
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8164,forward,GEMM,1268912
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8165,forward,Fusion,1497864
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8166,forward,others,1241657
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8167,forward,Fusion(Softmax),1536537
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8168,forward,Fusion(Softmax),2259389
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8169,forward,others,1925529
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8170,forward,Fusion(Dropout+Softmax),2852181
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8171,forward,GEMM,1898490
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8172,forward,Fusion,222938
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8173,forward,GEMM,581992
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8174,forward,Fusion(Dropout+LN),492881
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8175,forward,Fusion(LN),119426
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8176,forward,Fusion(LN),197485
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8177,forward,GEMM,2553944
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8178,forward,Fusion(Gelu),872138
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8179,forward,Fusion(Dropout+Gelu),1549856
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8180,forward,GEMM,2445268
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8181,forward,Fusion(Dropout+LN),383799
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8182,forward,Fusion(Dropout+LN),581181
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8183,forward,Fusion(Dropout+LN),15123
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8184,forward,GEMM,63553
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8185,forward,others,13455
GPU_1_Buffer_1,V100_downscaled_HBM2_PCI6x1_write_prio_debug,8186,forward,GEMM,107081
